id,name,artist_credit,platform,type,first_release_date_year
358244,"Freshmen Adjustment",127482,Mixtape/Street,Album,2005
515558,"The High School Graduate",127482,Compilation,Album,2004
954810,"What a Beautiful Day",2197313,Remix,Single,2008
201287,"Radiant Decay: A Tribute to Nine Inch Nails",1,Compilation,Album,2000
219345,"Closer to the Spiral: A Tribute to Nine Inch Nails",1,Compilation,Album,2001
438998,"The Piano Tribute to Nine Inch Nails",300515,Compilation,Album,2005
492512,"A Tribute to Nine Inch Nails",1,Compilation,Album,NULL
619556,"Special Tribute to Nine Inch Nails: Soundtracks From Snuff Films",97546,Compilation,Album,2003
907288,"Nine Chip Nails: 8BC NIN Tribute",1,Compilation,Album,2008
5119,"Footloose: Original Soundtrack of the Paramount Motion Picture",1,Soundtrack,Album,1984
5994,Pulse,191,Live,Album,1995
9767,"Live at Visiones",5264,Live,Album,1995
17113,"Greatest Hits",1757,Compilation,Album,1995
17629,"In Concert",1135,Live,Album,1973
17842,"The Prince of Egypt: Music From the Original Motion Picture Soundtrack",1822806,Soundtrack,Album,1998
18258,"80-83 Strategies Against Architecture",9704,Compilation,Album,1984
18669,"16 Biggest Hits",387,Compilation,Album,1999
20159,"Essential Rarities",1757,Compilation,Album,1999
20384,"Everything Is Possible! The Best of Os Mutantes",10536,Compilation,Album,1999
20436,"The Best of The Doors",1757,Compilation,Album,1985
21706,"The Doors",1757,Soundtrack,Album,1991
21710,"In Concert",1757,Live,Album,1991
22184,Unplugged,938,Live,Album,1992
22717,"The Singles Collection",11619,Compilation,Album,1991
22835,"Delicate Sound of Thunder",191,Live,Album,1988
23166,"Timepieces: The Best of Eric Clapton",938,Compilation,Album,1982
24905,"4 Organ Concertos / Concerto grosso, op. 3 no. 5",2135773,Compilation,Album,1990
27233,"O Brother, Where Art Thou?",1,Soundtrack,Album,2000
31824,"MTV Unplugged",2925,Live,Album,1993
32220,"Sailor Moon: Songs From the Hit TV Series",1,Soundtrack,Album,1996
32552,"Strange Brew: The Very Best of Cream",1435,Compilation,Album,1983
35112,"The Crow",1,Soundtrack,Album,1994
35672,"Mamma Mia!",2174675,Soundtrack,Album,1999
36665,"Obscured by Clouds",191,Soundtrack,Album,1972
37254,Batman,153,Soundtrack,Album,1989
37658,"Grease: The Original Soundtrack From the Motion Picture",813472,Soundtrack,Album,1978
38281,"So Far",11058,Compilation,Album,1974
38775,"Hot Rocks 1964â€“1971",825,Compilation,Album,1971
39365,"Live at Red Rocks 8.15.95",502,Live,Album,1997
39489,"Negotiations and Love Songs: 1971â€“1986",1773,Compilation,Album,1988
39985,Relics,191,Compilation,Album,1971
40510,"The Best of the Beach Boys, Volume 1",1135,Compilation,Album,1966
40708,"The Cream of Clapton",938,Compilation,Album,1994
