name,artist_credit
"Blue Lines",4
Dry,9044
"Rid of Me",9044
"White Christmas",340
"Viva Wisconsin",344
LP,402
Protection,4
"A Saucerful of Secrets",191
90125,349
Vitalogy,190
Star,1083
"The Menace",1094
"Outside Looking In",441
"Led Zeppelin",388
"Hellbilly Deluxe: 13 Tales of Cadaverous Cavorting Inside the Spookshow International",529
"The Piper at the Gates of Dawn",191
"Rage Against the Machine",381
Pyromania,253
"Power Windows",918
"Diver Down",782
Emotions,111
Superstition,2180
"From the Cradle",938
Tigerlily,1321
Vs.,190
"Cosmic Thing",1214677
"About Face",2532
"Glass Houses",138
Afterburner,2735
"Footloose: Original Soundtrack of the Paramount Motion Picture",1
Indumani,2994
L7,2073
Garbage,37
"A New Stereophonic Sound Spectacular",1020
"Everybody Else Is Doing It, So Why Canâ€™t We?",158
"Marcy Playground",1857
"Wish You Were Here",191
"Screamin' Halloween Sounds",105725
"Where Have All the Merrymakers Gone?",1864
Pulse,191
"Brother Where You Bound",2125
Portishead,65
"Young Team",3544
"Get Off the Crossâ€¦ We Need the Wood for the Fire",3538
"The Band Geek Mafia",1511
Generator,779
Blue,3762
"All Scratched Up!",3762
"Same Here",3780
"Dub Terror Exhaust",3835
Decoder,3586
"The King James Version",3356
Germicide,913240
"Orange [Monochrome Stills]",3265
Hemisphere,4442
"From Within 2",253621
"Fear of a Green Planet",4475
"Soul Explosion",4605
"Of Flesh and Blood",4836
Punkrockacademyfightsong,3762
"Terror Rising",5151
"The Skull",5155
"Run to the Light",5155
Parallels,5135
"The Best of Tchaikovsky",122653
"Live at Visiones",5264
"Sweet Home Cookinâ€™",5258
"Cornet Chop Suey",5399
"Like Minds",1956694
"70: A Seventieth Birthday Celebration",340
"Right Now!",40259
Elegy,5638
Prophecy,2102
Plasticity,2102
Implode,2102
"Live Wired",2102
"Amid Its Hallowed Mirth",6594
"Hear No Evil",3947
"Parcel of Rogues",6238
"If I'd Been Born an Eagle",1130203
"Below the Salt",6238
"Kings of Gangster Bop",2897
"In Rough Territory",7586
Launched,7639
"When I Was Born for the 7th Time",798
Meddle,191
"Excursions, Remixes & Rare Grooves",8190
Honky,8303
"Helicopter '97",8307
"Calculating Infinity",5678
"Slaughter of the Soul",8518
Heartwork,8523
"White Irises Blind",3779
Colossus,3779
Godflesh,3282
Scum,8515
Escapade,7368
Skynet,8649
"A New Kind of Army",6987
Evensong,1963961
Advance,8993
S&M,93
"Eve 6",506
"â€¦and Justice for All",93
Disturbed,347
"Greatest Hits",1757
"Portrait of an American Family",187
"Woodstock 94",1
"Natural Born Killers",1
Rubberneck,9163
Wildflowers,196
"Paranoid Android",66
Tidal,1026
Frogstomp,1968
"Brian Wilson",9350
"In Concert",1135
"Semantic Spaces",2236
Adrenalize,253
Americana,368
"The Sickness",244
"The Prince of Egypt: Music From the Original Motion Picture Soundtrack",1822806
"(MIA) the Complete Anthology",913240
"Parental Advisory: Explicit Lyrics",1047
"Symphony No. 9",1506784
Vegas,920
"The Fifth Element: Original Motion Picture Soundtrack",15
"The Beatles",303
"80-83 Strategies Against Architecture",9704
"The Height of Callousness",9624
"Still Cruisinâ€™",1135
"Bad Hair Day",863324
Violator,317
"The Classical Collection 1: Tchaikovsky: The Masterpieces",853052
"The Moon & Antarctica",62
"Peter Tschaikowsky",122653
Demanufacture,1006
"Title of Record",1007
"The Chemical Wedding",9596
"16 Biggest Hits",387
"The Instruments of Classical Music, Vol. 3: The Trumpet",1
"Houses of the Holy",388
Ã†nima,1000
Monster,10302
"No Code",190
"Greatest Hits",1658
1812,9896
"Radio Maria",837424
Cascade,10026
"Pretty Hate Machine",347
"Days of Open Hand",1132
"The Downward Spiral",347
"Sounds of Excellence: Nature's Classical Relaxation Vol. 2",1
"Pachelbel: Kanon & Gigue / J.S. Bach / Handel / Vivaldi",1000250
Reload,93
"Ritual de lo habitual",885873
Animals,191
"Tragic Kingdom",464
"The Boatmanâ€™s Call",1602962
"Kill â€™em All",93
Pinkerton,446
"Waiting for the Sun",1757
"Bone Machine",23
"Once in a Very Blue Moon",10268
"Mer de Noms",909
"Mister Heartbreak",10298
"Born in the U.S.A.",813
"Great Classical Marches",1
"Favorite Waltzes",122653
"Waking Up the Neighbours",156
"Essential Rarities",1757
"The Life, Times, & Music Series: The Romantic Era",1
"Automatic for the People",10302
"The Division Bell",191
"Everything Is Possible! The Best of Os Mutantes",10536
"Smack My Bitch Up",829629
"Under the Pink",60
"Hell Freezes Over",11386
"The Best of The Doors",1757
Blood,10574
"Up Your Alley",10699
"Ropinâ€™ the Wind",1929
"Let It Be",303
"Classics for Meditation",1
Pilgrim,938
"Anthology: The Sounds of Science",9606
"Opium fÃ¼rs Volk",1874
"Time Out",5444
"Bad Habits",11138
"Big Ones",481
Balance,782
"The Doors",1757
"L.A. Woman",1757
"Morrison Hotel",1757
"The Soft Parade",1757
"In Concert",1757
"Strange Days",1757
"The Doors",1757
"Wide Open Spaces",72940
"Hybrid Theory",11330
"The Ghosts That Haunt Me",2278
Unplugged,938
"Victory Day",1347533
Journeyman,938
"Permanent Vacation",481
White,11467
"Cracked Rear View",1354473
"Louder Than Love",1111
"Things Falling Apart",347
Soulfly,2078
"The Singles Collection",11619
People,11626
"In the Dark",1528
Hysteria,253
"New Beginning",1477
"Dead Ringer",9113
"Delicate Sound of Thunder",191
"New York",2494
"Magic and Loss",2494
"Lifes Rich Pageant",10302
Document,10302
Green,10302
"Voodoo Lounge",825
"Day for Night",1226
"Mirror Ball",964
"Timepieces: The Best of Eric Clapton",938
"Fly Like an Eagle",9762
