artist_id,genre,count
347,rock,2
347,electronic,6
347,"alternative rock",4
347,industrial,3
347,"industrial rock",16
347,"industrial metal",3
347,metal,1
347,"experimental rock",1
347,electro-industrial,2
122653,classical,6
122653,opera,2
127482,pop,1
127482,"hip hop",6
127482,electropop,2
127482,"pop rap",3
227563,classical,1
450753,"hip hop",1
661040,classical,1
2396,rock,2
2396,"alternative rock",1
2396,"industrial rock",1
2396,metal,1
36352,electronic,1
36352,industrial,1
36352,metal,1
36352,"alternative metal",1
48307,classical,1
103325,rock,0
103325,"pop punk",1
126886,rock,1
126886,soul,2
126886,r&b,2
173871,electronic,1
173871,"industrial metal",1
173871,metal,1
173871,electronica,1
235953,rock,2
235953,"alternative rock",1
235953,"industrial rock",1
235953,"hard rock",1
236021,rock,1
236024,rock,1
236024,"alternative rock",1
236024,"industrial rock",1
236024,"thrash metal",1
236024,metal,1
236024,"alternative metal",1
245255,rock,1
465456,rock,0
465456,noise,0
465456,ambient,1
465456,drone,2
465463,rock,1
89,electronic,1
89,downtempo,1
89,pop,14
89,jazz,1
89,dance,0
89,electropop,3
89,dance-pop,4
111,pop,2
111,soul,1
111,dance-pop,2
111,"pop soul",1
111,"christmas music",1
111,"contemporary r&b",1
146,pop,1
146,dance,1
146,soul,1
166,"hip hop",3
166,"gangsta rap",1
166,"pop rap",0
166,"west coast hip hop",0
166,"boom bap",0
167,pop,1
167,"hip hop",1
167,"pop rap",4
167,"boom bap",1
167,"east coast hip hop",3
404,reggae,0
404,soul,1
404,"pop soul",1
404,r&b,0
404,"contemporary r&b",1
493,"hip hop",3
500,"hip hop",2
500,horrorcore,-1
500,"conscious hip hop",1
500,"east coast hip hop",1
501,electronic,9
501,house,5
501,"tech house",1
501,"electro house",1
516,"hip hop",2
791,pop,7
791,dance,0
791,electropop,1
791,dance-pop,1
791,"electro house",2
791,"teen pop",2
791,"contemporary r&b",0
946,"hip hop",17
946,"pop rap",0
946,horrorcore,0
946,"boom bap",0
956,rock,3
956,pop,5
956,"alternative rock",1
956,experimental,0
956,singer-songwriter,1
956,soul,2
956,"glam rock",7
956,"art rock",7
956,"psychedelic pop",2
956,"experimental rock",1
956,"pop rock",1
956,"blue-eyed soul",2
1009,rock,1
1009,industrial,4
1009,"industrial rock",5
1009,"industrial metal",4
1009,electro-industrial,4
1138,"hip hop",2
1695,rock,3
1695,"industrial rock",1
1695,"industrial metal",4
1695,punk,1
1695,metal,1
1695,post-punk,3
1695,"new wave",2
1695,"gothic rock",1
1748,rock,0
1748,blues,0
1748,soul,7
1748,"psychedelic rock",1
1748,"blues rock",1
1748,"southern soul",3
1966,soul,1
2212,"hip hop",3
2212,"conscious hip hop",0
2212,"east coast hip hop",0
2368,"hip hop",2
2388,"hip hop",4
2388,"boom bap",1
2388,"east coast hip hop",1
2884,pop,1
2884,"hip hop",0
2884,soul,1
2884,"pop rap",1
2884,"neo soul",1
2884,"new jack swing",2
2884,"pop soul",1
2884,r&b,1
2884,"contemporary r&b",2
3219,"hip hop",3
9027,"hip hop",2
9341,pop,2
9341,r&b,1
9341,"contemporary r&b",1
9468,pop,2
9468,"hip hop",1
9468,"contemporary r&b",1
9530,"hip hop",2
10236,"hip hop",2
11226,"hip hop",2
11387,"hip hop",2
11387,soul,1
11387,"contemporary r&b",1
11428,"hip hop",1
11491,jazz,0
11491,"hip hop",4
11660,"hip hop",1
11669,"hip hop",2
11669,"pop rap",1
11979,"hip hop",2
11998,soul,1
11998,r&b,1
11998,"contemporary r&b",1
11999,"hip hop",1
11999,soul,1
11999,dance-pop,1
11999,"new jack swing",1
11999,r&b,2
11999,"contemporary r&b",1
12640,"hip hop",5
12640,"gangsta rap",2
12640,"east coast hip hop",2
14681,gospel,1
14869,funk,2
14869,soul,3
15237,"hip hop",2
20092,"hip hop",2
20237,"hip hop",2
20558,"contemporary r&b",1
24018,pop,0
24018,"alternative rock",0
24018,jazz,1
24018,soul,1
24018,"pop rap",0
24018,"neo soul",0
24018,r&b,2
24018,"contemporary r&b",2
30038,"hip hop",1
32197,"hip hop",3
32197,"pop rap",1
32197,"contemporary r&b",1
32265,"hip hop",1
32860,"hip hop",1
32860,"gangsta rap",1
32860,"east coast hip hop",1
33563,rock,1
33563,pop,1
33563,jazz,1
33563,blues,1
33563,"folk rock",1
33563,"production music",-1
33563,soul,1
33563,"blues rock",1
33563,americana,1
33563,"acoustic rock",1
33563,"pop rock",1
33616,"hip hop",1
33616,"east coast hip hop",1
34409,"hip hop",1
35629,"hip hop",1
35884,"hip hop",1
37038,"hip hop",2
42986,"hip hop",1
43129,"hip hop",3
43129,"conscious hip hop",0
43130,"hip hop",2
44318,"hip hop",3
44318,"gangsta rap",1
44318,"pop rap",1
47812,pop,2
47812,"hip hop",1
47812,soul,2
47812,r&b,1
50270,"hip hop",2
50761,"hip hop",1
51332,"hip hop",1
51703,rock,3
51703,electronic,1
51703,"alternative rock",5
