id,release,format,artist_credit,release_group,language
2,2,CD,60,20424,English
5,5,CD,65,65056,English
6,6,CD,60,39263,English
190,190,CD,298,124237,English
213,213,CD,1965,114475,English
226,227,CD,60,39263,English
227,227,CD,60,39263,English
232,232,CD,60,20424,English
236,9174,CD,60,20424,English
312,312,CD,64482,107236,English
313,313,CD,64482,107236,English
315,315,CD,64482,107236,English
318,318,CD,93,16951,English
329,329,CD,93,131017,English
339,339,CD,42,36982,English
345,345,"Enhanced CD",64489,723639,English
358,358,CD,2103,39831,English
376,376,Cassette,933469,844695,English
377,377,CD,933469,844695,English
382,382,CD,11650,659554,English
388,382,CD,11650,659554,English
397,397,CD,11650,217405,English
583,583,CD,1182,47205,English
633,633,"Enhanced CD",1026,17572,English
642,642,CD,59910,95991,English
734,734,CD,24276,100243,English
837,837,CD,37921,62549,English
849,849,CD,1921,132455,English
856,856,CD,1921,84407,English
1010,1010,CD,93,16892,English
1011,1010,CD,93,16892,English
1100,1100,CD,1049809,39361,English
1111,1111,CD,79105,803716,English
1122,1122,CD,1,162125,English
1123,1122,"Enhanced CD",1,162125,English
1222,1222,CD,1757,20436,English
1223,1222,CD,1757,20436,English
1226,1226,CD,1757,21710,English
1227,1226,CD,1757,21710,English
1228,1228,CD,1757,78742,English
1230,1228,CD,1757,78742,English
1231,1228,CD,1757,78742,English
1236,1236,CD,1757,20159,English
1239,1239,CD,1757,141776,English
1240,1239,CD,1757,141776,English
1243,1243,CD,1757,142038,English
1244,1243,CD,1757,142038,English
1247,1247,CD,1757,80795,English
1398,1398,CD,30,140154,English
1399,1399,CD,30,140154,English
1400,1400,CD,30,140154,English
1401,1401,CD,30,140154,English
1569,1569,CD,2129,81883,English
1572,1572,CD,10302,20300,English
1576,1576,CD,10302,18787,English
1583,1583,CD,10302,23036,English
1639,1639,CD,365,625926,English
1648,1648,CD,10151,37110,English
1659,1659,CD,62467,134950,English
1678,1678,CD,2429,30981,English
1679,1679,CD,2429,30981,English
1712,1712,CD,2446,963427,English
1737,1737,CD,1162,127464,English
1738,1738,CD,1162,127464,English
1739,1739,CD,1162,127464,English
1779,1779,CD,1,115824,English
1811,1811,CD,14423,77947,English
1834,1834,HDCD,1135,415487,English
1837,1837,CD,85634,282559,English
1838,1838,CD,1135,94920,English
1841,1841,"Copy Control CD",2147,171111,English
1867,1867,CD,2147,136726,English
1868,1868,CD,10026,53659,English
1893,1893,CD,1477,24216,English
1895,1895,CD,1710,41203,English
1965,1965,CD,12389,95587,English
1972,1972,CD,1135,18292,English
1973,1973,CD,1135,79054,English
1996,1996,CD,6052,41483,English
2018,2018,CD,44954,520883,English
2024,2024,CD,44954,644020,English
